vernacularName,verbatimScientificName,icelandicName,rare
Common Redpoll,Acanthis flammea,Auðnutittlingur,
Hoary Redpoll,Acanthis hornemanni,Hrímtittlingur,F
Eurasian Sparrowhawk,Accipiter nisus,Sparrhaukur,F
Paddyfield Warbler,Acrocephalus agricola,Dvalsöngvari,F
Blyth's Reed Warbler,Acrocephalus dumetorum,Elrisöngvari,F
Marsh Warbler,Acrocephalus palustris,Seljusöngvari,F
Sedge Warbler,Acrocephalus schoenobaenus,Síkjasöngvari,F
Eurasian Reed Warbler,Acrocephalus scirpaceus,Sefsöngvari,F
Common Sandpiper,Actitis hypoleucos,Lindastelkur,F
Spotted Sandpiper,Actitis macularius,Dílastelkur,F
Crested Auklet,Aethia cristatella,Toppklumba,F
Mandarin Duck,Aix galericulata,Mandarínönd,F
Wood Duck,Aix sponsa,Brúðönd,F
Eurasian Skylark,Alauda arvensis,Sönglævirki,F
Razorbill,Alca torda,Álka,
Common Kingfisher,Alcedo atthis,Bláþyrill,F
Dovekie,Alle alle,Haftyrðill,
Northern Pintail,Anas acuta,Grafönd,
Green-winged Teal,Anas crecca,Urtönd,
Mallard,Anas platyrhynchos,Stokkönd,
American Black Duck,Anas rubripes,Brúnönd,F
Greater White-fronted Goose,Anser albifrons,Blesgæs,
Graylag Goose,Anser anser,Grágæs,
Pink-footed Goose,Anser brachyrhynchus,Heiðagæs,
Snow Goose,Anser caerulescens,Snjógæs,F
Bar-headed Goose,Anser indicus,Taumgæs,F
Ross's Goose,Anser rossii,Mjallgæs,F
Tundra Bean-Goose,Anser serrirostris,Túndrugæs,F
Tawny Pipit,Anthus campestris,Sandtittlingur,F
Pechora Pipit,Anthus gustavi,Svarðtittlingur,F
Olive-backed Pipit,Anthus hodgsoni,Skógtittlingur,F
Rock Pipit,Anthus petrosus,Strandtittlingur,F
Meadow Pipit,Anthus pratensis,Þúfutittlingur,
American Pipit,Anthus rubescens,Heiðatittlingur,F
Tree Pipit,Anthus trivialis,Trjátittlingur,F
Common Swift,Apus apus,Múrsvölungur,F
Alpine Swift,Apus melba,Alpasvölungur,F
Pacific Swift,Apus pacificus,Forksvölungur,F
Great Egret,Ardea alba,Mjallhegri,F
Gray Heron,Ardea cinerea,Gráhegri,F
Great Blue Heron,Ardea herodias,Bláhegri,F
Purple Heron,Ardea purpurea,Rauðhegri,F
Great Shearwater,Ardenna gravis,Hettuskrofa,F
Sooty Shearwater,Ardenna grisea,Gráskrofa,F
Squacco Heron,Ardeola ralloides,Relluhegri,F
Ruddy Turnstone,Arenaria interpres,Tildra,
Short-eared Owl,Asio flammeus,Brandugla,
Long-eared Owl,Asio otus,Eyrugla,F
Lesser Scaup,Aythya affinis,Kúfönd,F
Redhead,Aythya americana,Kollönd,F
Ring-necked Duck,Aythya collaris,Hringönd,F
Common Pochard,Aythya ferina,Skutulönd,F
Tufted Duck,Aythya fuligula,Skúfönd,
Greater Scaup,Aythya marila,Duggönd,
Ferruginous Duck,Aythya nyroca,Jarpönd,F
Cedar Waxwing,Bombycilla cedrorum,Sedrustoppa,F
Bohemian Waxwing,Bombycilla garrulus,Silkitoppa,F
Great Bittern,Botaurus stellaris,Sefþvari,F
Brant,Branta bernicla,Margæs,
Canada Goose,Branta canadensis,Kanadagæs,F
Cackling Goose,Branta hutchinsii,Alaskagæs,F
Barnacle Goose,Branta leucopsis,Helsingi,
Red-breasted Goose,Branta ruficollis,Fagurgæs,F
Snowy Owl,Bubo scandiacus,Snæugla,F
Cattle Egret,Bubulcus ibis,Kúhegri,F
Bufflehead,Bucephala albeola,Hjálmönd,F
Common Goldeneye,Bucephala clangula,Hvinönd,F
Barrow's Goldeneye,Bucephala islandica,Húsönd,
Eurasian Thick-knee,Burhinus oedicnemus,Tríll,F
Common Buzzard,Buteo buteo,Músvákur,F
Rough-legged Hawk,Buteo lagopus,Fjallvákur,F
Green Heron,Butorides virescens,Grænhegri,F
Greater Short-toed Lark,Calandrella brachydactyla,Sandlævirki,F
Lapland Longspur,Calcarius lapponicus,Sportittlingur,F
Sanderling,Calidris alba,Sanderla,
Dunlin,Calidris alpina,Lóuþræll,
Baird's Sandpiper,Calidris bairdii,Leirutíta,F
Red Knot,Calidris canutus,Rauðbrystingur,
Broad-billed Sandpiper,Calidris falcinellus,Efjutíta,F
Curlew Sandpiper,Calidris ferruginea,Spóatíta,F
White-rumped Sandpiper,Calidris fuscicollis,Vaðlatíta,F
Purple Sandpiper,Calidris maritima,Sendlingur,
Western Sandpiper,Calidris mauri,Hólmatíta,F
Pectoral Sandpiper,Calidris melanotos,Rákatíta,F
Little Stint,Calidris minuta,Veimiltíta,F
Least Sandpiper,Calidris minutilla,Mærutíta,F
Ruff,Calidris pugnax,Rúkragi,F
Semipalmated Sandpiper,Calidris pusilla,Fitjatíta,F
Red-necked Stint,Calidris ruficollis,Roðatíta,F
Buff-breasted Sandpiper,Calidris subruficollis,Grastíta,F
Temminck's Stint,Calidris temminckii,Bakkatíta,F
Siberian Rubythroat,Calliope calliope,Fagurgali,F
Canada Warbler,Cardellina canadensis,Haustskríkja,F
European Goldfinch,Carduelis carduelis,Þistilfinka,F
Common Rosefinch,Carpodacus erythrinus,Rósafinka,F
Hermit Thrush,Catharus guttatus,Dulþröstur,F
Gray-cheeked Thrush,Catharus minimus,Hlýraþröstur,F
Swainson's Thrush,Catharus ustulatus,Moldþröstur,F
Red-rumped Swallow,Cecropis daurica,Brandsvala,F
Black Guillemot,Cepphus grylle,Teista,
Little Ringed Plover,Charadrius dubius,Vatnalóa,F
Common Ringed Plover,Charadrius hiaticula,Sandlóa,
Greater Sand-Plover,Charadrius leschenaultii,Auðnalóa,F
Semipalmated Plover,Charadrius semipalmatus,Kvöldlóa,F
Killdeer,Charadrius vociferus,Skræklóa,F
Whiskered Tern,Chlidonias hybrida,Skeggþerna,F
White-winged Tern,Chlidonias leucopterus,Tígulþerna,F
Black Tern,Chlidonias niger,Kolþerna,F
European Greenfinch,Chloris chloris,Grænfinka,F
Bonaparte's Gull,Chroicocephalus philadelphia,Trjámáfur,F
Black-headed Gull,Chroicocephalus ridibundus,Hettumáfur,F
White Stork,Ciconia ciconia,Hvítstorkur,F
Black Stork,Ciconia nigra,Kolstorkur,F
Eurasian Marsh-Harrier,Circus aeruginosus,Brúnheiðir,F
Hen Harrier,Circus cyaneus,Bláheiðir,F
Pallid Harrier,Circus macrourus,Fölheiðir,F
Montagu's Harrier,Circus pygargus,Gráheiðir,F
Long-tailed Duck,Clangula hyemalis,Hávella,
Hawfinch,Coccothraustes coccothraustes,Kjarnbítur,F
Rock Pigeon,Columba livia,Bjargdúfa,
Stock Dove,Columba oenas,Holudúfa,F
Common Wood-Pigeon,Columba palumbus,Hringdúfa,F
Common Raven,Corvus corax,Hrafn,
Hooded Crow,Corvus cornix,Grákráka,F
Carrion Crow,Corvus corone,Svartkráka,F
Rook,Corvus frugilegus,Bláhrafn,F
Eurasian Jackdaw,Corvus monedula,Dvergkráka,F
Common Quail,Coturnix coturnix,Kornhæna,F
Corn Crake,Crex crex,Engirella,F
Common Cuckoo,Cuculus canorus,Gaukur,F
Black Swan,Cygnus atratus,Svartsvanur,F
Tundra Swan,Cygnus columbianus,Dvergsvanur,F
Whooper Swan,Cygnus cygnus,Álft,
Mute Swan,Cygnus olor,Hnúðsvanur,F
Common House-Martin,Delichon urbicum,Bæjasvala,F
Little Egret,Egretta garzetta,Bjarthegri,F
Yellow-breasted Bunting,Emberiza aureola,Víðitittlingur,F
Yellowhammer,Emberiza citrinella,Gultittlingur,F
Pine Bunting,Emberiza leucocephalos,Lerkitittlingur,F
Little Bunting,Emberiza pusilla,Dvergtittlingur,F
Rustic Bunting,Emberiza rustica,Hrístittlingur,F
Reed Bunting,Emberiza schoeniclus,Seftittlingur,F
Alder Flycatcher,Empidonax alnorum,Elrigreipur,F
Least Flycatcher,Empidonax minimus,Stúfgreipur,F
Acadian Flycatcher,Empidonax virescens,Mýgreipur,F
European Robin,Erithacus rubecula,Glóbrystingur,F
Merlin,Falco columbarius,Smyrill,
Peregrine Falcon,Falco peregrinus,Förufálki,F
Eurasian Hobby,Falco subbuteo,Gunnfálki,F
Eurasian Kestrel,Falco tinnunculus,Turnfálki,F
Red-footed Falcon,Falco vespertinus,Kvöldfálki,F
European Pied Flycatcher,Ficedula hypoleuca,Flekkugrípur,F
Red-breasted Flycatcher,Ficedula parva,Peðgrípur,F
Atlantic Puffin,Fratercula arctica,Lundi,
Common Chaffinch,Fringilla coelebs,Bókfinka,F
Brambling,Fringilla montifringilla,Fjallafinka,F
American Coot,Fulica americana,Kolhæna,F
Eurasian Coot,Fulica atra,Bleshæna,F
Northern Fulmar,Fulmarus glacialis,Fýll,
Wilson's Snipe,Gallinago delicata,Flóasnípa,F
Common Snipe,Gallinago gallinago,Hrossagaukur,
Eurasian Moorhen,Gallinula chloropus,Sefhæna,F
Yellow-billed Loon,Gavia adamsii,Svalbrúsi,F
Arctic Loon,Gavia arctica,Glitbrúsi,F
Common Loon,Gavia immer,Himbrimi,
Red-throated Loon,Gavia stellata,Lómur,
Gull-billed Tern,Gelochelidon nilotica,Sandþerna,F
Common Yellowthroat,Geothlypis trichas,Grímuskríkja,F
Collared Pratincole,Glareola pratincola,Þernutrítill,F
Common Crane,Grus grus,Grátrana,F
Eurasian Oystercatcher,Haematopus ostralegus,Tjaldur,
White-tailed Eagle,Haliaeetus albicilla,Haförn,
Black-winged Stilt,Himantopus himantopus,Háleggur,F
Icterine Warbler,Hippolais icterina,Spésöngvari,F
Melodious Warbler,Hippolais polyglotta,Skopsöngvari,F
Barn Swallow,Hirundo rustica,Landsvala,F
Harlequin Duck,Histrionicus histrionicus,Straumönd,
European Storm-Petrel,Hydrobates pelagicus,Stormsvala,
Little Gull,Hydrocoloeus minutus,Dvergmáfur,F
Wood Thrush,Hylocichla mustelina,Trjáþröstur,F
Mediterranean Gull,Ichthyaetus melanocephalus,Lónamáfur,F
Baltimore Oriole,Icterus galbula,Álmkraki,F
Eastern Olivaceous Warbler,Iduna pallida,Fölsöngvari,F
Varied Thrush,Ixoreus naevius,Barrþröstur,F
Dark-eyed Junco,Junco hyemalis,Vetrartittlingur,F
Eurasian Wryneck,Jynx torquilla,Gauktíta,F
Rock Ptarmigan,Lagopus muta,Rjúpa,
Red-backed Shrike,Lanius collurio,Þyrnisvarri,F
Great Gray Shrike,Lanius excubitor,Grásvarri,F
Woodchat Shrike,Lanius senator,Trjásvarri,F
Herring Gull,Larus argentatus,Silfurmáfur,
Caspian Gull,Larus cachinnans,Ósamáfur,F
Mew Gull,Larus canus,Stormmáfur,
Ring-billed Gull,Larus delawarensis,Hringmáfur,F
Lesser Black-backed Gull,Larus fuscus,Sílamáfur,
Glaucous-winged Gull,Larus glaucescens,Heiðmáfur,F
Iceland Gull,Larus glaucoides,Bjartmáfur,
Glaucous Gull,Larus hyperboreus,Hvítmáfur,
Great Black-backed Gull,Larus marinus,Svartbakur,
Yellow-legged Gull,Larus michahellis,Klapparmáfur,F
Slaty-backed Gull,Larus schistisagus,Hellumáfur,F
Tennessee Warbler,Leiothlypis peregrina,Ormskríkja,F
Laughing Gull,Leucophaeus atricilla,Hláturmáfur,F
Franklin's Gull,Leucophaeus pipixcan,Sléttumáfur,F
Short-billed Dowitcher,Limnodromus griseus,Snípuduðra,F
Long-billed Dowitcher,Limnodromus scolopaceus,Kanaduðra,F
Bar-tailed Godwit,Limosa lapponica,Lappajaðrakan,F
Black-tailed Godwit,Limosa limosa,Jaðrakan,
Eurasian Linnet,Linaria cannabina,Hörfinka,F
River Warbler,Locustella fluviatilis,Straumsöngvari,F
Lanceolated Warbler,Locustella lanceolata,Lensusöngvari,F
Common Grasshopper-Warbler,Locustella naevia,Engisöngvari,F
Hooded Merganser,Lophodytes cucullatus,Kambönd,F
Red Crossbill,Loxia curvirostra,Krossnefur,F
White-winged Crossbill,Loxia leucoptera,Víxlnefur,F
Parrot Crossbill,Loxia pytyopsittacus,Pánefur,F
Thrush Nightingale,Luscinia luscinia,Húmgali,F
Common Nightingale,Luscinia megarhynchos,Næturgali,F
Bluethroat,Luscinia svecica,Blábrystingur,F
Jack Snipe,Lymnocryptes minimus,Dvergsnípa,F
American Wigeon,Mareca americana,Ljóshöfðaönd,F
Eurasian Wigeon,Mareca penelope,Rauðhöfðaönd,
Gadwall,Mareca strepera,Gargönd,
Belted Kingfisher,Megaceryle alcyon,Beltaþyrill,F
Black Scoter,Melanitta americana,Krummönd,F
White-winged Scoter,Melanitta deglandi,Kolönd,F
Velvet Scoter,Melanitta fusca,Korpönd,F
Common Scoter,Melanitta nigra,Hrafnsönd,
Surf Scoter,Melanitta perspicillata,Krákönd,F
Stejneger's Scoter,Melanitta stejnegeri,Surtönd,F
Lincoln's Sparrow,Melospiza lincolnii,Brjósttittlingur,F
Smew,Mergellus albellus,Hvítönd,F
Common Merganser,Mergus merganser,Gulönd,
Red-breasted Merganser,Mergus serrator,Toppönd,
European Bee-eater,Merops apiaster,Býsvelgur,F
Black Kite,Milvus migrans,Vatnagleða,F
Red Kite,Milvus milvus,Svölugleða,F
Black-and-white Warbler,Mniotilta varia,Klifurskríkja,F
Northern Gannet,Morus bassanus,Súla,
White Wagtail,Motacilla alba,Maríuerla,
Gray Wagtail,Motacilla cinerea,Straumerla,F
Citrine Wagtail,Motacilla citreola,Mýrerla,F
Western Yellow Wagtail,Motacilla flava,Gulerla,F
Dark-sided Flycatcher,Muscicapa sibirica,Móskugrípur,F
Spotted Flycatcher,Muscicapa striata,Grágrípur,F
Eurasian Curlew,Numenius arquata,Fjöruspói,F
Whimbrel,Numenius phaeopus,Spói,
Black-crowned Night-Heron,Nycticorax nycticorax,Nátthegri,F
Wilson's Storm-Petrel,Oceanites oceanicus,Hafsvala,F
Leach's Storm-Petrel,Oceanodroma leucorhoa,Sjósvala,
Northern Wheatear,Oenanthe oenanthe,Steindepill,
Eurasian Golden Oriole,Oriolus oriolus,Laufglói,F
Ruddy Duck,Oxyura jamaicensis,Hrókönd,F
Ivory Gull,Pagophila eburnea,Ísmáfur,F
Osprey,Pandion haliaetus,Gjóður,F
Great Tit,Parus major,Flotmeisa,F
House Sparrow,Passer domesticus,Gráspör,F
Eurasian Tree Sparrow,Passer montanus,Trjáspör,F
Fox Sparrow,Passerella iliaca,Tófutittlingur,F
Rosy Starling,Pastor roseus,Rósastari,F
Cliff Swallow,Petrochelidon pyrrhonota,Klettasvala,F
European Shag,Phalacrocorax aristotelis,Toppskarfur,
Great Cormorant,Phalacrocorax carbo,Dílaskarfur,
Red Phalarope,Phalaropus fulicarius,Þórshani,
Red-necked Phalarope,Phalaropus lobatus,Óðinshani,
Wilson's Phalarope,Phalaropus tricolor,Freyshani,F
Rose-breasted Grosbeak,Pheucticus ludovicianus,Tígultáti,F
Black Redstart,Phoenicurus ochruros,Húsaskotta,F
Common Redstart,Phoenicurus phoenicurus,Garðaskotta,F
Arctic Warbler,Phylloscopus borealis,Norðsöngvari,F
Common Chiffchaff,Phylloscopus collybita,Gransöngvari,F
Hume's Warbler,Phylloscopus humei,Hlíðasöngvari,F
Yellow-browed Warbler,Phylloscopus inornatus,Hnoðrasöngvari,F
Wood Warbler,Phylloscopus sibilatrix,Grænsöngvari,F
Willow Warbler,Phylloscopus trochilus,Laufsöngvari,F
Scarlet Tanager,Piranga olivacea,Skarlatstáni,F
Eurasian Spoonbill,Platalea leucorodia,Flatnefur,F
Snow Bunting,Plectrophenax nivalis,Snjótittlingur,
Glossy Ibis,Plegadis falcinellus,Bognefur,F
European Golden-Plover,Pluvialis apricaria,Heiðlóa,
American Golden-Plover,Pluvialis dominica,Gulllóa,F
Pacific Golden-Plover,Pluvialis fulva,Glitlóa,F
Black-bellied Plover,Pluvialis squatarola,Grálóa,F
Horned Grebe,Podiceps auritus,Flórgoði,
Great Crested Grebe,Podiceps cristatus,Toppgoði,F
Red-necked Grebe,Podiceps grisegena,Sefgoði,F
Pied-billed Grebe,Podilymbus podiceps,Stúfgoði,F
Steller's Eider,Polysticta stelleri,Blikönd,F
Purple Gallinule,Porphyrio martinica,Flóðhæna,F
Sora,Porzana carolina,Sorarella,F
Spotted Crake,Porzana porzana,Dílarella,F
Dunnock,Prunella modularis,Runntítla,F
Manx Shearwater,Puffinus puffinus,Skrofa,
Eurasian Bullfinch,Pyrrhula pyrrhula,Dómpápi,F
Water Rail,Rallus aquaticus,Keldusvín,F
Pied Avocet,Recurvirostra avosetta,Bjúgnefja,F
Ruby-crowned Kinglet,Regulus calendula,Rauðkollur,F
Goldcrest,Regulus regulus,Glókollur,F
Ross's Gull,Rhodostethia rosea,Rósamáfur,F
Bank Swallow,Riparia riparia,Bakkasvala,F
Black-legged Kittiwake,Rissa tridactyla,Rita,
Siberian Stonechat,Saxicola maurus,Runnaskvetta,F
Whinchat,Saxicola rubetra,Vallskvetta,F
European Stonechat,Saxicola rubicola,Hagaskvetta,F
Eurasian Woodcock,Scolopax rusticola,Skógarsnípa,F
Northern Parula,Setophaga americana,Fléttuskríkja,F
Black-throated Blue Warbler,Setophaga caerulescens,Bláskríkja,F
Cerulean Warbler,Setophaga cerulea,Blámaskríkja,F
Yellow-rumped Warbler,Setophaga coronata,Krúnuskríkja,F
Magnolia Warbler,Setophaga magnolia,Daggarskríkja,F
Palm Warbler,Setophaga palmarum,Pálmaskríkja,F
Yellow Warbler,Setophaga petechia,Gulskríkja,F
American Redstart,Setophaga ruticilla,Húmskríkja,F
Blackpoll Warbler,Setophaga striata,Rákaskríkja,F
Black-throated Green Warbler,Setophaga virens,Grænskríkja,F
Red-breasted Nuthatch,Sitta canadensis,Bandigða,F
Common Eider,Somateria mollissima,Æðarfugl,
King Eider,Somateria spectabilis,Æðarkóngur,F
Northern Shoveler,Spatula clypeata,Skeiðönd,F
Blue-winged Teal,Spatula discors,Bláönd,F
Garganey,Spatula querquedula,Taumönd,F
Yellow-bellied Sapsucker,Sphyrapicus varius,Safaspæta,F
Eurasian Siskin,Spinus spinus,Barrfinka,F
Long-tailed Jaeger,Stercorarius longicaudus,Fjallkjói,F
Parasitic Jaeger,Stercorarius parasiticus,Kjói,
Pomarine Jaeger,Stercorarius pomarinus,Ískjói,F
Great Skua,Stercorarius skua,Skúmur,
Roseate Tern,Sterna dougallii,Roðaþerna,F
Common Tern,Sterna hirundo,Sílaþerna,F
Arctic Tern,Sterna paradisaea,Kría,
Little Tern,Sternula albifrons,Dvergþerna,F
Eurasian Collared-Dove,Streptopelia decaocto,Tyrkjadúfa,F
European Turtle-Dove,Streptopelia turtur,Turtildúfa,F
European Starling,Sturnus vulgaris,Stari,
Eurasian Blackcap,Sylvia atricapilla,Hettusöngvari,F
Garden Warbler,Sylvia borin,Garðsöngvari,F
Subalpine Warbler,Sylvia cantillans,Kampasöngvari,F
Greater Whitethroat,Sylvia communis,Þyrnisöngvari,F
Lesser Whitethroat,Sylvia curruca,Netlusöngvari,F
Barred Warbler,Sylvia nisoria,Hauksöngvari,F
Little Grebe,Tachybaptus ruficollis,Dverggoði,F
Tree Swallow,Tachycineta bicolor,Trjásvala,F
Ruddy Shelduck,Tadorna ferruginea,Ryðönd,F
Common Shelduck,Tadorna tadorna,Brandönd,F
Red-flanked Bluetail,Tarsiger cyanurus,Bláskotta,F
Sandwich Tern,Thalasseus sandvicensis,Þaraþerna,F
Spotted Redshank,Tringa erythropus,Sótstelkur,F
Lesser Yellowlegs,Tringa flavipes,Hrísastelkur,F
Wood Sandpiper,Tringa glareola,Flóastelkur,F
Common Greenshank,Tringa nebularia,Lyngstelkur,F
Green Sandpiper,Tringa ochropus,Trjástelkur,F
Solitary Sandpiper,Tringa solitaria,Svölustelkur,F
Common Redshank,Tringa totanus,Stelkur,
Eurasian Wren,Troglodytes troglodytes,Músarrindill,
Black-throated Thrush,Turdus atrogularis,Þorraþröstur,F
Redwing,Turdus iliacus,Skógarþröstur,
Eurasian Blackbird,Turdus merula,Svartþröstur,
American Robin,Turdus migratorius,Farþröstur,F
Song Thrush,Turdus philomelos,Söngþröstur,F
Fieldfare,Turdus pilaris,Gráþröstur,F
Ring Ouzel,Turdus torquatus,Mánaþröstur,F
Mistle Thrush,Turdus viscivorus,Mistilþröstur,F
Eurasian Hoopoe,Upupa epops,Herfugl,F
Common Murre,Uria aalge,Langvía,
Thick-billed Murre,Uria lomvia,Stuttnefja,
Northern Lapwing,Vanellus vanellus,Vepja,F
Red-eyed Vireo,Vireo olivaceus,Græningi,F
Sabine's Gull,Xema sabini,Þernumáfur,F
White-throated Sparrow,Zonotrichia albicollis,Hörputittlingur,F
White-crowned Sparrow,Zonotrichia leucophrys,Kúftittlingur,F